Date,Temperature,Humidity,Operator,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Measure9,Measure10,Measure11,Measure12,Measure13,Measure14,Measure15,Hours Since Previous Failure,Failure,﻿Date.year,﻿Date.month,﻿Date.day-of-month,﻿Date.day-of-week,﻿Date.hour,﻿Date.minute,﻿Date.second
2016-12-23 14:00:00,63,82,Operator3,858,1,0,1602,1401,1134,568,1240,1189,1700,1854,299,1635,1376,2011,400,No,2016,12,23,5,14,0,0
2016-05-30 08:00:00,68,77,Operator3,229,1,0,1735,1087,1594,1515,1210,1090,2010,942,1985,776,1227,1000,432,No,2016,5,30,1,8,0,0
2016-01-17 17:00:00,61,80,Operator6,522,1,1,596,803,1930,434,1048,1175,540,1034,658,1988,1582,1295,253,No,2016,1,17,7,17,0,0
2016-06-28 04:00:00,61,87,Operator7,1822,0,0,1255,1459,1234,1106,1643,1688,1334,1380,188,1156,892,2006,76,No,2016,6,28,2,4,0,0
2016-06-22 09:00:00,63,84,Operator2,1061,2,2,1522,533,1641,866,779,1870,1346,1703,419,1828,1400,263,386,No,2016,6,22,3,9,0,0
2016-09-18 19:00:00,63,84,Operator5,1508,0,2,795,1203,846,1481,1797,1404,1390,346,1306,335,1445,906,266,Yes,2016,9,18,7,19,0,0
2016-05-25 01:00:00,60,79,Operator2,1276,0,0,513,620,1120,572,717,721,1792,1273,1924,1222,551,869,305,No,2016,5,25,3,1,0,0
2016-08-12 12:00:00,68,88,Operator2,1015,1,0,2000,1284,1243,1647,251,1649,896,1435,1815,324,1403,1451,270,No,2016,8,12,5,12,0,0
2016-11-30 14:00:00,63,75,Operator4,243,1,1,1377,308,1246,1359,1116,691,2005,1059,244,603,2002,547,516,No,2016,11,30,3,14,0,0
2016-11-09 01:00:00,69,68,Operator2,1009,2,0,1359,309,1267,891,1257,498,1540,769,424,1674,1942,528,1,Yes,2016,11,9,3,1,0,0
2016-01-07 22:00:00,64,78,Operator5,1696,3,1,1877,572,1940,156,1188,1277,1674,448,1570,172,1762,756,18,No,2016,1,7,4,22,0,0
2016-10-23 16:00:00,64,82,Operator8,1055,1,2,711,1734,1104,1050,1228,691,1402,177,182,1722,931,1056,230,No,2016,10,23,7,16,0,0
2016-04-29 01:00:00,60,86,Operator7,1731,3,2,796,889,1694,1561,855,410,460,930,1189,286,1840,402,40,No,2016,4,29,5,1,0,0
2016-06-15 23:00:00,61,84,Operator6,1860,1,1,1101,1504,916,771,1462,806,991,668,1329,1539,761,753,232,No,2016,6,15,3,23,0,0
2016-01-12 20:00:00,64,82,Operator8,956,2,0,852,952,1843,545,1526,1592,1756,1966,1965,1286,1022,1069,136,No,2016,1,12,2,20,0,0
2016-06-05 07:00:00,65,81,Operator1,1624,1,0,1698,925,1835,1677,815,181,298,1731,566,592,992,1901,575,No,2016,6,5,7,7,0,0
2016-01-29 20:00:00,62,76,Operator6,1617,0,2,1464,1615,397,1610,329,726,1357,1404,1724,1228,446,1550,25,No,2016,1,29,5,20,0,0
2016-08-19 02:00:00,60,95,Operator1,387,2,1,348,658,1551,956,1984,992,1234,1552,1428,616,688,1134,428,No,2016,8,19,5,2,0,0
2016-10-06 02:00:00,62,90,Operator1,1498,2,1,1138,1745,1382,1280,1722,547,1605,1823,605,898,1165,889,248,No,2016,10,6,4,2,0,0
2016-12-27 05:00:00,64,78,Operator2,1734,2,0,1788,979,1063,1167,421,1853,1346,416,677,1390,450,1332,76,No,2016,12,27,2,5,0,0
2016-07-03 14:00:00,62,81,Operator4,1204,3,0,1824,900,205,325,304,786,1729,1857,840,1653,1731,650,206,No,2016,7,3,7,14,0,0
2016-10-24 20:00:00,67,82,Operator5,838,0,2,898,855,1076,1772,993,723,1711,1968,583,1792,1814,622,258,No,2016,10,24,1,20,0,0
2016-09-03 04:00:00,62,82,Operator1,339,3,1,1498,889,1923,1613,1692,622,1909,858,342,1088,1018,1676,277,No,2016,9,3,6,4,0,0
2016-06-10 13:00:00,62,77,Operator2,444,0,2,1403,1351,267,1459,316,444,448,1218,1750,286,1128,456,102,No,2016,6,10,5,13,0,0
2016-08-27 04:00:00,63,88,Operator7,336,0,1,362,1700,1933,1655,752,1408,1042,448,573,1566,1916,1606,109,No,2016,8,27,6,4,0,0
2016-05-22 03:00:00,64,77,Operator2,1469,2,1,457,1860,1609,951,311,1678,1190,1424,1809,390,494,1884,235,No,2016,5,22,7,3,0,0
2016-09-13 16:00:00,64,83,Operator6,1423,2,0,830,446,1626,1402,1825,1724,984,1391,1847,940,1696,655,143,No,2016,9,13,2,16,0,0
2016-03-21 06:00:00,61,88,Operator7,1184,0,1,934,998,1656,1919,788,1297,1238,942,241,977,483,882,94,No,2016,3,21,1,6,0,0
2016-09-22 17:00:00,60,80,Operator6,525,2,2,270,1001,1273,440,1717,912,1507,863,664,767,499,1568,360,No,2016,9,22,4,17,0,0
2016-06-13 16:00:00,68,84,Operator8,1281,0,1,742,255,1358,690,665,833,1767,750,462,1745,565,476,177,No,2016,6,13,1,16,0,0
2016-02-07 21:00:00,62,80,Operator6,1417,3,2,1005,1735,1401,1580,475,1440,1119,1951,1869,1194,718,1986,242,No,2016,2,7,7,21,0,0
2016-07-20 00:00:00,67,93,Operator1,1731,1,0,1723,1984,1073,841,1287,1630,1155,524,692,1709,1356,1272,228,No,2016,7,20,3,0,0,0
2016-09-06 21:00:00,67,82,Operator5,1079,2,2,1380,1433,1248,1010,470,1611,1013,1845,1110,1612,1582,515,9,No,2016,9,6,2,21,0,0
2016-12-02 06:00:00,68,75,Operator1,1906,0,0,701,581,239,1968,1847,1433,1987,401,1791,1342,1533,1066,556,No,2016,12,2,5,6,0,0
2016-12-01 02:00:00,60,65,Operator7,1433,2,0,1661,1610,1537,512,893,435,1492,381,1883,232,890,627,528,No,2016,12,1,4,2,0,0
2016-01-15 18:00:00,60,82,Operator8,1495,1,1,286,884,510,1378,366,273,1802,1774,1619,1667,996,744,206,No,2016,1,15,5,18,0,0
2016-07-26 22:00:00,68,81,Operator5,548,1,2,1677,424,386,690,828,1023,1546,1960,1548,1498,178,249,394,No,2016,7,26,2,22,0,0
2016-01-11 04:00:00,66,83,Operator2,452,3,1,861,1374,1147,1057,1975,1123,312,600,1281,574,1925,534,96,No,2016,1,11,1,4,0,0
2016-04-08 23:00:00,68,78,Operator8,862,1,0,1898,1564,975,1761,1617,902,1149,1601,885,428,1318,905,543,No,2016,4,8,5,23,0,0
2016-03-03 00:00:00,61,82,Operator7,821,2,1,422,1659,1413,1676,464,743,1984,200,1531,1240,1797,1679,375,No,2016,3,3,4,0,0,0
2016-10-23 13:00:00,62,85,Operator2,236,3,1,660,1925,808,1580,496,931,1863,1168,1037,583,1963,1022,227,No,2016,10,23,7,13,0,0
2016-07-24 13:00:00,60,84,Operator4,831,1,2,1578,162,1389,202,1090,946,595,980,1413,1489,872,1035,337,No,2016,7,24,7,13,0,0
2016-09-28 02:00:00,61,86,Operator2,350,1,2,1089,1727,1252,1703,994,1655,164,468,633,1122,714,798,56,No,2016,9,28,3,2,0,0
2016-07-27 00:00:00,66,81,Operator2,1323,1,1,797,1622,224,626,367,849,1124,1837,429,971,1162,173,396,No,2016,7,27,3,0,0,0
2016-04-13 14:00:00,60,87,Operator4,1929,1,0,875,1722,1228,1190,704,1100,560,1407,1789,1467,1568,1900,57,No,2016,4,13,3,14,0,0
2016-04-14 09:00:00,62,83,Operator2,993,3,2,959,164,650,1091,1057,905,813,1776,1941,1500,856,1182,76,No,2016,4,14,4,9,0,0
2016-02-06 01:00:00,60,82,Operator1,185,3,1,771,222,1360,1154,155,1736,1408,1399,1848,1169,518,1816,198,No,2016,2,6,6,1,0,0
2016-10-29 20:00:00,61,77,Operator8,1648,3,2,778,1118,890,1807,398,855,1201,722,1737,615,286,1685,378,No,2016,10,29,6,20,0,0
2016-09-30 01:00:00,64,82,Operator1,624,2,2,697,1414,631,1402,1152,940,1551,1147,1913,279,915,1049,103,No,2016,9,30,5,1,0,0
2016-10-01 18:00:00,67,91,Operator6,358,1,1,1118,1972,763,443,724,156,415,1947,789,1304,1883,653,144,No,2016,10,1,6,18,0,0
2016-05-17 00:00:00,61,82,Operator7,1377,2,0,600,417,1251,1462,1770,1586,1771,399,1271,1458,1942,1710,112,No,2016,5,17,2,0,0,0
2016-09-03 08:00:00,68,82,Operator3,1567,0,1,1166,658,514,1295,190,1918,1476,754,193,371,648,1696,281,No,2016,9,3,6,8,0,0
2016-06-24 22:00:00,60,83,Operator6,468,0,0,543,1464,1252,370,690,1283,1113,1921,1499,1842,1923,807,447,No,2016,6,24,5,22,0,0
2016-03-03 18:00:00,60,78,Operator8,1797,0,0,648,572,1712,258,207,1112,350,1095,1442,363,731,1380,393,No,2016,3,3,4,18,0,0
2016-05-05 06:00:00,63,88,Operator7,1731,3,1,245,1002,1979,923,240,1935,1979,442,1573,779,495,1361,189,No,2016,5,5,4,6,0,0
