Date,Temperature,Humidity,Operator,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Measure9,Measure10,Measure11,Measure12,Measure13,Measure14,Measure15,Hours Since Previous Failure,Failure,﻿Date.year,﻿Date.month,﻿Date.day-of-month,﻿Date.day-of-week,﻿Date.hour,﻿Date.minute,﻿Date.second
2016-03-05 03:00:00,63,82,Operator2,999,2,2,1529,520,1629,637,1789,1171,1995,368,1142,1744,552,393,426,No,2016,3,5,6,3,0,0
2016-05-19 11:00:00,68,81,Operator4,387,1,0,957,1795,281,1995,1748,287,1672,1054,351,1978,820,276,171,No,2016,5,19,4,11,0,0
2016-08-01 22:00:00,63,92,Operator5,1392,3,0,431,244,817,983,1722,1266,757,1467,739,833,395,753,16,No,2016,8,1,1,22,0,0
2016-06-28 16:00:00,61,81,Operator8,1567,2,1,1726,1807,807,1533,367,1496,1895,1275,1582,1425,1065,1974,88,No,2016,6,28,2,16,0,0
2016-07-10 01:00:00,66,91,Operator7,174,3,1,890,402,296,1298,1897,1306,1240,974,438,796,676,1004,361,No,2016,7,10,7,1,0,0
2016-11-10 05:00:00,63,86,Operator7,1052,3,1,616,1716,1859,1063,939,504,1848,1186,1202,503,1891,1951,27,No,2016,11,10,4,5,0,0
2016-08-13 07:00:00,63,86,Operator1,1578,0,1,1101,466,1140,1461,1405,167,217,1750,370,323,864,1239,289,No,2016,8,13,6,7,0,0
2016-08-03 14:00:00,65,86,Operator2,1328,2,1,1362,1070,887,700,1093,653,1199,1519,1382,276,629,1773,56,No,2016,8,3,3,14,0,0
2016-01-28 13:00:00,67,82,Operator3,430,1,2,1108,1925,1759,724,1548,1943,1541,1212,1688,871,1389,1604,144,No,2016,1,28,4,13,0,0
2016-05-22 02:00:00,64,85,Operator2,378,1,2,234,218,1998,1906,792,1977,1028,640,554,1779,1113,1617,234,No,2016,5,22,7,2,0,0
2016-03-07 10:00:00,68,75,Operator3,784,2,2,736,526,1555,1805,280,986,1266,542,1426,1926,367,1077,481,No,2016,3,7,1,10,0,0
2016-08-07 23:00:00,68,85,Operator5,1572,0,0,1526,333,692,1707,707,813,1073,1480,912,1156,1520,1945,161,No,2016,8,7,7,23,0,0
2016-11-27 07:00:00,62,79,Operator2,396,0,0,1195,1826,1793,1530,786,1417,1346,630,1591,565,1797,1660,437,No,2016,11,27,7,7,0,0
2016-04-17 09:00:00,65,109,Operator2,871,3,2,1468,252,1751,704,1544,919,548,405,340,537,1091,1790,148,No,2016,4,17,7,9,0,0
2016-06-06 10:00:00,67,79,Operator4,842,1,2,1268,1171,1066,208,1741,1230,1471,1318,376,1216,1667,1779,3,No,2016,6,6,1,10,0,0
2016-01-29 08:00:00,61,75,Operator4,1025,2,1,180,1903,1910,1056,1041,867,918,390,225,1645,458,1333,13,No,2016,1,29,5,8,0,0
2016-07-21 14:00:00,66,91,Operator4,1746,2,0,1038,1387,1322,1082,338,928,1464,1569,803,1960,1798,1234,266,No,2016,7,21,4,14,0,0
2016-07-22 11:00:00,67,87,Operator2,1054,3,0,1344,1609,256,1005,1579,482,772,1798,1660,853,933,217,287,No,2016,7,22,5,11,0,0
2016-01-20 14:00:00,64,84,Operator4,1159,3,2,1790,807,1782,1818,851,1187,237,1784,266,1026,206,1608,322,No,2016,1,20,3,14,0,0
2016-07-09 17:00:00,61,86,Operator6,751,3,1,1362,959,322,444,1580,1343,1237,376,641,1360,393,539,353,No,2016,7,9,6,17,0,0
2016-10-25 21:00:00,63,78,Operator6,1337,0,2,1057,569,1634,274,1391,339,413,460,922,1954,1823,1083,283,No,2016,10,25,2,21,0,0
2016-10-31 12:00:00,62,84,Operator4,1373,2,2,821,204,1709,1405,722,644,1986,1103,799,1142,675,692,418,No,2016,10,31,1,12,0,0
2016-07-09 05:00:00,63,88,Operator2,1226,1,0,1832,2003,718,663,227,920,712,796,921,358,1971,1304,341,No,2016,7,9,6,5,0,0
2016-02-20 18:00:00,62,78,Operator8,1236,3,1,1910,892,578,1867,1311,619,690,269,1517,603,524,1132,105,No,2016,2,20,6,18,0,0
2016-02-19 08:00:00,68,84,Operator4,1184,2,2,1125,1800,1074,1680,1575,840,1758,1910,1084,916,1068,1437,71,No,2016,2,19,5,8,0,0
2016-11-12 05:00:00,63,80,Operator2,1223,1,0,1425,1795,1999,413,1663,326,1358,1479,1671,204,944,1806,75,No,2016,11,12,6,5,0,0
2016-12-17 15:00:00,63,78,Operator3,1398,3,2,1861,1624,498,1919,220,1606,1948,1966,1629,1813,1437,1574,257,No,2016,12,17,6,15,0,0
2016-10-29 19:00:00,67,87,Operator8,848,3,1,267,661,1112,1202,1099,332,1903,1963,1719,1028,636,188,377,No,2016,10,29,6,19,0,0
2016-09-08 23:00:00,66,88,Operator8,1449,1,1,844,499,756,1072,653,309,168,914,634,972,644,777,30,No,2016,9,8,4,23,0,0
2016-06-02 14:00:00,66,83,Operator3,798,3,2,1851,1954,1237,1659,274,754,808,213,1041,1727,1853,612,510,No,2016,6,2,4,14,0,0
2016-03-06 22:00:00,72,77,Operator8,1356,3,1,685,1605,1443,1459,602,270,1888,1522,914,1491,806,957,469,No,2016,3,6,7,22,0,0
2016-04-04 17:00:00,61,82,Operator6,519,2,2,946,1137,782,1549,914,402,1759,1366,381,520,175,1615,441,No,2016,4,4,1,17,0,0
2016-09-19 06:00:00,65,91,Operator2,373,0,0,1895,864,1788,293,790,574,785,199,1430,1400,1554,1115,277,No,2016,9,19,1,6,0,0
2016-04-19 17:00:00,60,82,Operator6,1887,1,1,758,709,1186,1530,1950,1466,480,683,1323,1091,284,1927,204,No,2016,4,19,2,17,0,0
2016-08-18 21:00:00,67,94,Operator8,1570,1,0,761,439,249,1444,1082,1431,651,805,641,1318,545,454,423,No,2016,8,18,4,21,0,0
2016-04-04 13:00:00,62,86,Operator4,1194,1,0,638,904,618,1812,285,517,1166,1253,522,1164,262,1915,437,No,2016,4,4,1,13,0,0
2016-07-09 19:00:00,65,88,Operator6,444,1,1,1854,255,1556,473,261,596,1029,1421,1921,506,1193,1361,355,No,2016,7,9,6,19,0,0
2016-07-31 05:00:00,64,93,Operator7,1142,1,1,505,1226,1059,873,763,681,1821,1832,1118,184,520,462,497,No,2016,7,31,7,5,0,0
2016-03-09 10:00:00,60,79,Operator2,439,2,0,1575,491,1322,861,731,1944,1182,1730,1388,1874,543,1119,10,No,2016,3,9,3,10,0,0
2016-12-12 06:00:00,65,82,Operator2,341,3,2,1642,164,636,1124,1677,1325,1727,1229,1028,1506,601,321,128,No,2016,12,12,1,6,0,0
2016-01-21 18:00:00,61,81,Operator8,1760,0,1,1513,770,1561,426,761,1078,1191,1850,1639,398,747,1157,350,No,2016,1,21,4,18,0,0
2016-06-14 00:00:00,62,81,Operator1,1578,2,2,690,1043,864,570,1967,1003,1863,1758,1641,1257,437,364,185,No,2016,6,14,2,0,0,0
2016-12-11 12:00:00,62,84,Operator3,1393,1,1,1735,1588,1718,1432,1068,268,505,1421,749,1025,1787,281,110,No,2016,12,11,7,12,0,0
2016-09-15 21:00:00,67,84,Operator5,885,0,0,694,183,1731,516,839,1854,254,1009,1916,666,1153,556,196,No,2016,9,15,4,21,0,0
