Date,Temperature,Humidity,Operator,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Measure9,Measure10,Measure11,Measure12,Measure13,Measure14,Measure15,Hours Since Previous Failure,Failure,﻿Date.year,﻿Date.month,﻿Date.day-of-month,﻿Date.day-of-week,﻿Date.hour,﻿Date.minute,﻿Date.second
2016-01-01 02:00:00,64,76,Operator1,1406,1,1,511,1577,1121,1948,1882,1301,273,1927,1123,717,1518,1689,92,No,2016,1,1,5,2,0,0
2016-01-01 07:00:00,67,76,Operator1,1021,2,1,185,170,952,1183,1329,427,1638,850,379,1529,755,844,97,Yes,2016,1,1,5,7,0,0
2016-01-01 09:00:00,63,80,Operator3,415,0,0,1008,1086,1759,1946,1814,1754,1442,341,1097,1819,472,491,99,No,2016,1,1,5,9,0,0
2016-01-01 10:00:00,61,83,Operator3,525,2,2,603,1630,1740,583,646,319,933,1891,1371,1904,1586,1102,100,No,2016,1,1,5,10,0,0
2016-01-01 11:00:00,62,81,Operator3,1719,3,1,880,575,1722,952,890,669,782,1720,641,1620,1046,1759,101,No,2016,1,1,5,11,0,0
2016-01-01 13:00:00,60,82,Operator3,282,1,1,1406,1727,945,1631,714,1072,1051,1857,559,1309,1668,1453,103,No,2016,1,1,5,13,0,0
2016-01-01 14:00:00,61,79,Operator3,637,3,0,821,511,373,951,1151,1200,493,770,1781,1437,1978,1911,104,No,2016,1,1,5,14,0,0
2016-01-01 16:00:00,60,80,Operator5,1622,3,2,846,1462,1618,695,1401,408,1481,1735,1247,1425,903,172,106,No,2016,1,1,5,16,0,0
2016-01-01 17:00:00,64,85,Operator5,1885,3,2,503,569,1819,1002,1884,171,645,1917,1392,554,1704,467,107,No,2016,1,1,5,17,0,0
2016-01-01 18:00:00,62,82,Operator5,616,2,2,634,1722,335,1299,1733,1589,1862,1834,1341,1512,542,1449,108,No,2016,1,1,5,18,0,0
2016-01-01 19:00:00,60,75,Operator5,965,2,0,176,1456,746,1799,1428,1202,1862,1608,1253,226,1563,505,109,No,2016,1,1,5,19,0,0
2016-01-01 20:00:00,60,82,Operator5,1238,2,1,171,1595,1153,1465,1603,662,675,245,932,1420,1472,741,110,No,2016,1,1,5,20,0,0
2016-01-01 21:00:00,67,78,Operator5,1327,0,1,1248,1185,1918,1200,1972,600,1988,1017,745,1679,549,1256,111,No,2016,1,1,5,21,0,0
2016-01-01 23:00:00,66,85,Operator5,861,3,1,1962,1391,1598,460,1185,392,1218,1080,270,1431,936,1311,113,No,2016,1,1,5,23,0,0
2016-01-02 00:00:00,67,75,Operator2,298,2,2,678,211,1474,1826,245,1198,1720,1824,355,457,1588,1301,114,No,2016,1,2,6,0,0,0
2016-01-02 02:00:00,69,82,Operator2,1196,2,1,343,471,628,518,618,232,298,548,1792,343,305,1465,116,No,2016,1,2,6,2,0,0
2016-01-02 03:00:00,61,84,Operator2,1909,1,2,1102,1846,889,272,1108,1604,1144,446,221,1292,779,1608,117,No,2016,1,2,6,3,0,0
2016-01-02 06:00:00,63,78,Operator2,275,0,1,164,424,1791,1251,271,1399,270,1145,1112,1855,950,279,120,No,2016,1,2,6,6,0,0
2016-01-02 08:00:00,67,76,Operator4,1303,2,2,679,692,1720,1184,855,464,1002,518,949,1591,255,934,122,No,2016,1,2,6,8,0,0
2016-01-02 12:00:00,68,76,Operator4,1464,2,2,459,706,360,1307,1080,247,496,205,386,320,1042,1885,126,No,2016,1,2,6,12,0,0
2016-01-02 14:00:00,68,82,Operator4,584,2,1,448,1354,1449,922,174,1899,1253,802,1421,1184,202,1142,128,No,2016,1,2,6,14,0,0
2016-01-02 15:00:00,66,85,Operator4,1852,2,2,333,1799,1065,1350,1099,248,1880,1128,341,1308,980,219,129,No,2016,1,2,6,15,0,0
2016-01-02 16:00:00,68,85,Operator6,1834,1,1,1050,732,931,945,1699,1555,801,921,1174,1325,734,883,130,No,2016,1,2,6,16,0,0
2016-01-02 18:00:00,62,80,Operator6,1233,0,2,1717,364,1549,330,1395,428,667,1593,535,424,416,500,132,No,2016,1,2,6,18,0,0
2016-01-02 21:00:00,65,83,Operator6,238,2,2,993,1349,491,1651,1745,1161,768,684,1044,1233,776,997,135,No,2016,1,2,6,21,0,0
2016-01-03 00:00:00,60,81,Operator7,467,1,1,1627,1747,1505,631,884,1023,1195,224,1928,1923,1169,1416,138,No,2016,1,3,7,0,0,0
2016-01-03 01:00:00,63,76,Operator7,1067,2,0,925,1039,1604,1990,626,2008,1666,1144,384,1266,1678,398,139,No,2016,1,3,7,1,0,0
2016-01-03 02:00:00,63,85,Operator7,1868,3,0,684,1784,1851,1165,1980,301,996,738,1659,204,1054,1369,140,No,2016,1,3,7,2,0,0
2016-01-03 03:00:00,60,80,Operator7,1024,0,1,1175,1676,630,589,1186,1934,1955,1960,456,1825,1320,1974,141,No,2016,1,3,7,3,0,0
2016-01-03 05:00:00,68,76,Operator7,981,0,0,1337,1495,1134,1053,1488,541,508,1661,1366,560,1529,238,143,No,2016,1,3,7,5,0,0
2016-01-03 06:00:00,62,85,Operator7,359,1,0,643,1423,1616,377,967,582,652,1450,491,1687,997,891,144,Yes,2016,1,3,7,6,0,0
2016-01-03 09:00:00,65,84,Operator2,1195,3,1,1766,1240,1894,1404,219,604,1108,1449,1605,674,1120,239,147,No,2016,1,3,7,9,0,0
2016-01-03 15:00:00,68,84,Operator2,1631,2,0,271,1943,634,1068,616,495,649,781,1862,754,1466,1970,153,No,2016,1,3,7,15,0,0
2016-01-03 16:00:00,63,84,Operator8,199,2,1,825,705,1254,1478,929,1375,1038,1890,1168,1881,1479,1146,154,No,2016,1,3,7,16,0,0
2016-01-03 18:00:00,67,77,Operator8,287,1,1,1486,808,1288,1046,1440,1406,1597,1146,1773,1618,953,1926,156,No,2016,1,3,7,18,0,0
2016-01-03 20:00:00,66,85,Operator8,1983,0,0,988,1322,311,1317,1342,1154,609,1748,238,1059,1376,1540,158,No,2016,1,3,7,20,0,0
2016-01-03 23:00:00,61,78,Operator8,618,2,1,745,381,1606,995,304,1957,243,1870,1303,972,262,272,161,No,2016,1,3,7,23,0,0
2016-01-04 01:00:00,64,84,Operator1,1499,3,0,1241,1693,1662,231,885,1131,1515,361,1961,444,269,930,163,No,2016,1,4,1,1,0,0
2016-01-04 03:00:00,62,77,Operator1,208,2,0,534,1021,772,1616,204,1321,1251,440,950,1754,624,669,165,No,2016,1,4,1,3,0,0
2016-01-04 06:00:00,63,81,Operator1,1281,3,1,997,2006,887,1537,1782,499,565,1990,1949,1522,489,591,168,No,2016,1,4,1,6,0,0
2016-01-04 07:00:00,66,76,Operator1,786,3,2,410,612,361,351,1895,278,219,1174,1589,594,661,299,169,No,2016,1,4,1,7,0,0
2016-01-04 08:00:00,64,78,Operator3,345,2,0,1522,1060,1216,708,1225,1137,1809,1974,990,626,303,1856,170,No,2016,1,4,1,8,0,0
2016-01-04 10:00:00,66,79,Operator3,312,3,1,304,1707,791,492,1905,1251,1031,835,1647,1810,1036,1576,172,No,2016,1,4,1,10,0,0
2016-01-04 11:00:00,67,78,Operator3,1156,1,0,734,1010,1029,1610,1129,866,1229,772,917,891,463,1170,173,No,2016,1,4,1,11,0,0
2016-01-04 12:00:00,64,84,Operator3,689,0,0,1734,220,1996,1225,1814,1062,863,236,1364,914,1572,939,174,No,2016,1,4,1,12,0,0
2016-01-04 13:00:00,67,75,Operator3,1273,3,2,508,976,575,492,872,899,831,1157,1934,863,768,1165,175,No,2016,1,4,1,13,0,0
2016-01-04 16:00:00,65,80,Operator5,326,2,0,930,507,763,1305,1309,1384,1675,835,1701,722,1564,1609,178,No,2016,1,4,1,16,0,0
2016-01-04 20:00:00,65,81,Operator5,1348,3,1,666,1717,1748,2007,1692,1259,369,1405,796,1115,1743,1627,182,No,2016,1,4,1,20,0,0
2016-01-04 21:00:00,62,76,Operator5,771,3,2,887,747,530,385,561,334,239,1558,186,1904,423,666,183,No,2016,1,4,1,21,0,0
2016-01-04 23:00:00,65,78,Operator5,459,1,0,1044,1321,1383,1735,793,601,243,1143,1369,1359,683,817,185,No,2016,1,4,1,23,0,0
2016-01-05 00:00:00,60,83,Operator2,1742,3,2,579,1139,1263,1425,369,808,1901,1931,315,1733,931,1969,186,No,2016,1,5,2,0,0,0
2016-01-05 01:00:00,66,83,Operator2,1922,2,1,1260,1485,621,1125,420,1603,569,1391,1267,649,507,396,187,No,2016,1,5,2,1,0,0
2016-01-05 02:00:00,64,79,Operator2,1735,3,0,568,1116,1374,1007,366,1532,1463,1793,603,1405,1640,1969,188,Yes,2016,1,5,2,2,0,0
2016-01-05 03:00:00,67,75,Operator2,1335,1,2,1151,1544,646,1844,1504,1456,581,1998,1048,1730,192,1594,189,No,2016,1,5,2,3,0,0
2016-01-05 05:00:00,64,80,Operator2,898,0,2,1221,704,1515,486,1994,951,1797,1646,921,331,555,1094,191,No,2016,1,5,2,5,0,0
2016-01-05 08:00:00,61,80,Operator4,1782,2,2,1534,1206,1122,1477,1269,1290,1836,1356,766,1699,223,1904,194,No,2016,1,5,2,8,0,0
2016-01-05 09:00:00,61,77,Operator4,1452,0,0,1477,1329,1583,1330,675,306,1455,1900,1268,715,1999,1736,195,No,2016,1,5,2,9,0,0
2016-01-05 10:00:00,66,78,Operator4,1027,0,2,158,334,1294,1760,1859,650,440,1915,995,730,611,258,196,No,2016,1,5,2,10,0,0
2016-01-05 12:00:00,60,78,Operator4,317,3,2,1781,1923,668,1159,156,1322,810,1029,631,1175,1806,551,198,No,2016,1,5,2,12,0,0
2016-01-05 17:00:00,62,82,Operator6,696,3,2,1381,1459,1568,426,1475,389,200,1413,1140,1811,433,602,203,No,2016,1,5,2,17,0,0
2016-01-05 18:00:00,61,83,Operator6,1951,3,2,1347,560,732,1732,1315,833,1546,511,1562,1133,528,1527,204,No,2016,1,5,2,18,0,0
2016-01-05 19:00:00,60,75,Operator6,706,0,1,774,904,1748,1043,1309,833,1907,1173,971,847,1110,1021,205,No,2016,1,5,2,19,0,0
2016-01-05 20:00:00,68,80,Operator6,1895,2,0,536,518,551,1747,176,1138,843,1856,1662,832,1581,1948,206,No,2016,1,5,2,20,0,0
2016-01-05 22:00:00,66,76,Operator6,1220,0,1,430,1121,1535,582,1409,1443,1564,1357,1527,314,1724,1069,208,No,2016,1,5,2,22,0,0
2016-01-06 04:00:00,67,84,Operator7,1570,2,1,1123,1757,803,226,705,581,499,1625,425,165,233,1335,214,No,2016,1,6,3,4,0,0
2016-01-06 05:00:00,60,85,Operator7,397,3,2,1765,996,241,190,1827,1012,273,1201,236,963,1903,1184,215,No,2016,1,6,3,5,0,0
2016-01-06 07:00:00,64,79,Operator7,504,3,1,229,516,1047,1093,1250,854,893,1272,1662,1033,565,1180,217,No,2016,1,6,3,7,0,0
2016-01-06 09:00:00,63,75,Operator2,1124,0,0,589,461,298,605,1753,1685,779,813,1288,1335,174,766,219,No,2016,1,6,3,9,0,0
2016-01-06 10:00:00,62,85,Operator2,869,0,2,401,1126,1252,496,781,1976,293,617,958,1099,1861,1765,220,No,2016,1,6,3,10,0,0
2016-01-06 11:00:00,68,77,Operator2,697,1,1,1022,1406,1105,685,875,1161,1892,1696,1816,1506,1099,474,221,No,2016,1,6,3,11,0,0
2016-01-06 12:00:00,60,79,Operator2,718,2,1,1558,557,1595,998,1666,1292,256,2006,1792,435,1342,1438,222,No,2016,1,6,3,12,0,0
2016-01-06 14:00:00,65,77,Operator2,1623,3,0,1221,701,1207,1386,986,662,1505,757,282,508,895,1229,224,No,2016,1,6,3,14,0,0
2016-01-06 16:00:00,62,80,Operator8,1278,0,0,1230,1836,1912,1422,1132,1046,661,576,1684,358,1052,1265,226,No,2016,1,6,3,16,0,0
2016-01-06 20:00:00,62,84,Operator8,542,2,0,1419,1575,605,540,440,1872,1264,1161,266,1359,262,1567,230,No,2016,1,6,3,20,0,0
2016-01-06 22:00:00,63,82,Operator8,1947,1,2,411,681,249,326,1565,1483,506,381,669,1881,848,1825,232,No,2016,1,6,3,22,0,0
2016-01-06 23:00:00,67,77,Operator8,1067,2,2,942,1693,537,1953,192,851,776,612,1670,1878,1295,335,233,No,2016,1,6,3,23,0,0
